scenario_name,time_slot,solver_name,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbps,goodput_mbps,packet_loss_rate,fairness_index,queue_delay_ms,edge_utilization,transport_utilization,wireless_utilization,solver_runtime_s,objective_value,quality_gap,constraint_violation_count,dominant_bottleneck,admission_rate,metadata,traffic.num_users,topology.backhaul_capacity_mbps,ml.forecast_error_std,sweep_label
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.3821465061298031,0.2,0.012253524997504428,11.471385136014222,,0,edge,1.0,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.4450708813760242,0.2,0.012150533992098644,17.789883941018147,,0,edge,1.0,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,quantum_inspired,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.42798906045045626,0.2,0.5073908640042646,82.62726469950186,6.202902153471855,0,edge,0.8333333333333334,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,quantum_inspired,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.4782769611772297,0.2,0.464170423001633,89.46452347222282,4.028954869455017,0,edge,0.8333333333333334,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,greedy,40.71762415253579,53.40250521674299,53.80033666968292,220.4281285981126,199.6981559892913,0.0,0.8076445924466104,28.884371302176906,1.0,1.0,0.4,0.0002137380070053041,188.37447683188168,0.8230100525289251,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,greedy,28.70588531232909,45.561221398364914,46.43550196459885,165.7742331038155,159.77794066316406,0.0,0.8442897149239075,17.90208834247994,1.0,1.0,0.35,0.0002184269978897646,259.61171827604153,0.2022247095904298,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,milp_exact,33.916367702838635,46.86089060843946,47.60779209330532,189.45728619360622,182.93641743168087,0.0,0.8429411083580097,23.28878470365089,1.0,1.0,0.3,0.020852478002780117,103.331562308482,,0,transport,0.8888888888888888,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,milp_exact,25.340409269682247,32.59042339384666,33.864623170749226,122.4473048224659,122.4473048224659,0.0,0.8534123727610496,15.28537081540375,1.0,1.0,0.25,0.013696863999939524,244.3264393009218,,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,quantum_inspired,40.71762415253579,53.40250521674299,53.80033666968292,220.4281285981126,199.6981559892913,0.0,0.8076445924466104,28.884371302176906,1.0,1.0,0.4,0.535973820995423,188.37447683188168,0.8230100525289251,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,quantum_inspired,28.70588531232909,45.561221398364914,46.43550196459885,165.7742331038155,159.77794066316406,0.0,0.8442897149239075,17.90208834247994,1.0,1.0,0.35,0.4861914159992011,259.61171827604153,0.2022247095904298,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
